"Study Area","Transect Name","Point Id","Date","Point Index","Direction","Canopy1","Canopy2","Canopy3","Top Layer","Height","Lower1","Lower2","Lower3","Lower4","Lower5","Lower6","Lower7","Lower8","Lower9","Lower10","Soil Surface","Thatch Indices Lower","Thatch Top Layer"
SMA-11-01,TOKA,TOKA-006,2018-04-19,1,126,,,,PHAQ,54,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,2,126,,,,PHAQ,22,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,3,126,,,,PHAQ,15,VUBR,2GA,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,4,126,,,,PHAQ,23,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,5,126,,,,PHAQ,22,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,6,126,,,,GEDI,15,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,7,126,,,,PHAQ,20,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,8,126,,,,PHAQ,17,VUBR,LOCO6,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,9,126,,,,VUBR,15,LIBI5,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,10,126,,,,PHAQ,24,LOCO6,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,11,126,,,,PHAQ,20,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,12,126,,,,PHAQ,11,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,13,126,,,,PHAQ,26,2GA,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,14,126,,,,PHAQ,33,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,15,126,,,,VUBR,14,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,16,126,,,,PHAQ,24,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,17,126,,,,PHAQ,21,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,18,126,,,,PHAQ,25,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,19,126,,,,PHAQ,35,JUPA2,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,20,126,,,,PHAQ,29,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,21,126,,,,PHAQ,10,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,22,126,,,,PHAQ,19,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,23,126,,,,PHAQ,24,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,24,126,,,,VUBR,35,PHAQ,VUBR,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,25,126,,,,PHAQ,15,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,26,126,,,,PHAQ,15,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,27,126,,,,PHAQ,16,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,28,126,,,,PHAQ,15,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,29,126,,,,VUBR,24,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,30,126,,,,PHAQ,31,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,31,126,,,,PHAQ,20,VUBR,VUBR,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,32,126,,,,VUBR,14,PHAQ,PHAQ,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,33,126,,,,PHAQ,2,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,34,126,,,,PHAQ,15,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,35,126,,,,PHAQ,18,GEDI,LIBI5,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,36,126,,,,PHAQ,20,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,37,126,,,,PHAQ,16,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,38,126,,,,PHAQ,20,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,39,126,,,,PHAQ,14,LOCO6,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,40,126,,,,PHAQ,19,LOCO6,PHAQ,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,41,126,,,,PHAQ,18,2FA,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,42,126,,,,PHAQ,33,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,43,126,,,,PHAQ,20,VUBR,VUBR,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,44,126,,,,DACA3,7,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,45,126,,,,PHAQ,20,BRHO2,DACA3,2GA,L,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,46,126,,,,PHAQ,50,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,47,126,,,,JUPA2,30,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,48,126,,,,VUBR,30,PHAQ,BRHO2,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,49,126,,,,RORO,15,L,,,,,,,,,,DACA3,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,50,126,,,,DACA3,13,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,1,306,BAPI,,,NOPLANT,,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,2,306,BAPI,,,PHAQ,26,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,3,306,,,,PHAQ,23,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,4,306,,,,PHAQ,30,VUBR,PHAQ,L,,,,,,,,S,2,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,5,306,,,,PHAQ,15,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,6,306,,,,NOPLANT,,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,7,306,,,,PHAQ,15,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,8,306,,,,VUBR,12,PHAQ,L,,,,,,,,,S,1,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,9,306,BAPI,,,VUBR,10,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,10,306,,,,PHAQ,19,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,11,306,,,,NOPLANT,,,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,12,306,,,,VUBR,22,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,13,306,,,,VUBR,4,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,14,306,,,,PHAQ,26,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,15,306,,,,JUOC2,19,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,16,306,,,,VUBR,10,PHAQ,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,17,306,,,,PHAQ,29,VUBR,LOCO6,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,18,306,,,,PHAQ,16,L,,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,19,306,,,,PHAQ,23,VUBR,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,20,306,,,,VUBR,10,DACA3,L,,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,21,306,,,,VUBR,38,VISA,GEDI,L,,,,,,,,S,,0
SMA-11-01,TOKA,TOKA-006,2018-04-19,22,306,,,,VUBR,11,PHAQ,L,,,,,,,,,S,,0
